WSms;WSkts
36.01111;69.99999784
46.3;90
51.44444;99.99999136
46.7885;90.94956803
54.01667;105.0000065
51.44444;99.99999136
41.15556;80.00000864
43.72778;85.00000432
41.15556;80.00000864
54.01667;105.0000065
43.72778;85.00000432
46.3;90
38.58333;74.99999352
58.87026;114.4346307
36.01111;69.99999784
54.01667;105.0000065
54.01667;105.0000065
18.00556;35.00000864
51.44444;99.99999136
43.72778;85.00000432
46.3;90
43.72778;85.00000432
44.60794;86.71089849
46.3;90
48.87222;94.99999568
46.3;90
36.01111;69.99999784
51.44444;99.99999136
30.86667;60.00000648
64.30556;125.0000086
20.88138;40.59015551
54.01667;105.0000065
36.01111;69.99999784
41.15556;80.00000864
53.02025;103.063121
51.44444;99.99999136
48.87222;94.99999568
29.94165;58.20191145
36.01111;69.99999784
60.74938;118.0873477
48.87222;94.99999568
53.02025;103.063121
36.01111;69.99999784
60.74938;118.0873477
51.44444;99.99999136
25.72222;49.99999568
58.87026;114.4346307
48.87222;94.99999568
53.02025;103.063121
51.44444;99.99999136
46.7885;90.94956803
38.58333;74.99999352
48.87222;94.99999568
28.29445;55.0000108
64.30556;125.0000086
30.86667;60.00000648
46.3;90
56.58889;110.0000022
54.01667;105.0000065
54.01667;105.0000065
38.58333;74.99999352
25.72222;49.99999568
36.01111;69.99999784
56.58889;110.0000022
38.58333;74.99999352
48.87222;94.99999568
38.58333;74.99999352
48.87222;94.99999568
51.44444;99.99999136
43.72778;85.00000432
43.72778;85.00000432
56.58889;110.0000022
23.15;45
43.72778;85.00000432
46.3;90
51.44444;99.99999136
48.87222;94.99999568
56.58889;110.0000022
36.01111;69.99999784
18.00556;35.00000864
48.87222;94.99999568
43.72778;85.00000432
48.87222;94.99999568
53.02025;103.063121
64.30556;125.0000086
18.00556;35.00000864
51.44444;99.99999136
36.01111;69.99999784
51.44444;99.99999136
60.74938;118.0873477
46.3;90
41.15556;80.00000864
58.87026;114.4346307
56.58889;110.0000022
36.01111;69.99999784
43.72778;85.00000432
38.58333;74.99999352
46.3;90
64.30556;125.0000086
58.87026;114.4346307
51.44444;99.99999136
43.72778;85.00000432
43.72778;85.00000432
51.44444;99.99999136
25.72222;49.99999568
51.44444;99.99999136
56.58889;110.0000022
50.9901;99.11682505
51.44444;99.99999136
33.43889;65.00000216
51.44444;99.99999136
33.43889;65.00000216
12.86111;24.99999784
46.3;90
35.2018;68.42682505
48.87222;94.99999568
46.3;90
41.15556;80.00000864
33.43889;65.00000216
51.44444;99.99999136
64.30556;125.0000086
64.30556;125.0000086
38.58333;74.99999352
20.57778;40.00000432
64.30556;125.0000086
58.87026;114.4346307
48.87222;94.99999568
56.58889;110.0000022
46.3;90
46.3;90
60.74938;118.0873477
36.01111;69.99999784
56.58889;110.0000022
43.72778;85.00000432
36.01111;69.99999784
51.44444;99.99999136
24.10845;46.86307775
46.3;90
53.02025;103.063121
51.44444;99.99999136
46.7885;90.94956803
51.44444;99.99999136
64.30556;125.0000086
56.58889;110.0000022
46.3;90
46.3;90
33.43889;65.00000216
56.58889;110.0000022
51.44444;99.99999136
50.9901;99.11682505
58.87026;114.4346307
23.15;45
38.58333;74.99999352
43.72778;85.00000432
36.01111;69.99999784
48.87222;94.99999568
51.44444;99.99999136
48.87222;94.99999568
33.43889;65.00000216
56.58889;110.0000022
27.11203;52.70157019
54.01667;105.0000065
36.01111;69.99999784
51.44444;99.99999136
38.58333;74.99999352
46.3;90
46.3;90
54.01667;105.0000065
51.44444;99.99999136
54.01667;105.0000065
46.7885;90.94956803
48.87222;94.99999568
51.44444;99.99999136
46.3;90
51.44444;99.99999136
60.74938;118.0873477
44.60794;86.71089849
51.44444;99.99999136
40.05803;77.86658099
46.3;90
46.3;90
51.44444;99.99999136
50.9901;99.11682505
46.7885;90.94956803
30.86667;60.00000648
53.02025;103.063121
43.72778;85.00000432
46.3;90
33.43889;65.00000216
30.86667;60.00000648
33.43889;65.00000216
51.44444;99.99999136
37.67321;73.23086177
51.44444;99.99999136
46.3;90
54.01667;105.0000065
36.01111;69.99999784
50.9901;99.11682505
64.30556;125.0000086
56.58889;110.0000022
54.01667;105.0000065
33.43889;65.00000216
33.43889;65.00000216
25.72222;49.99999568
28.29445;55.0000108
64.30556;125.0000086
40.05803;77.86658099
51.44444;99.99999136
43.72778;85.00000432
51.44444;99.99999136
54.01667;105.0000065
54.01667;105.0000065
20.57778;40.00000432
46.3;90
56.58889;110.0000022
54.01667;105.0000065
38.58333;74.99999352
40.05803;77.86658099
28.29445;55.0000108
36.01111;69.99999784
48.87222;94.99999568
48.87222;94.99999568
56.58889;110.0000022
51.44444;99.99999136
43.72778;85.00000432
54.01667;105.0000065
53.02025;103.063121
18.00556;35.00000864
51.44444;99.99999136
51.44444;99.99999136
43.72778;85.00000432
20.57778;40.00000432
51.44444;99.99999136
50.9901;99.11682505
23.15;45
54.01667;105.0000065
48.87222;94.99999568
37.67321;73.23086177
24.10845;46.86307775
48.87222;94.99999568
23.15;45
36.01111;69.99999784
51.44444;99.99999136
54.01667;105.0000065
46.3;90
60.74938;118.0873477
30.86667;60.00000648
51.44444;99.99999136
51.44444;99.99999136
38.58333;74.99999352
48.87222;94.99999568
33.43889;65.00000216
64.30556;125.0000086
46.7885;90.94956803
18.08628;35.15691577
46.7885;90.94956803
50.9901;99.11682505
54.01667;105.0000065
43.72778;85.00000432
25.72222;49.99999568
33.43889;65.00000216
64.30556;125.0000086
48.87222;94.99999568
33.43889;65.00000216
41.15556;80.00000864
46.3;90
64.30556;125.0000086
46.3;90
58.87026;114.4346307
54.01667;105.0000065
38.58333;74.99999352
44.60794;86.71089849
54.01667;105.0000065
54.01667;105.0000065
43.72778;85.00000432
43.72778;85.00000432
54.01667;105.0000065
30.86667;60.00000648
43.72778;85.00000432
41.15556;80.00000864
7.406663;14.39740108
46.3;90
48.87222;94.99999568
43.72778;85.00000432
56.58889;110.0000022
38.58333;74.99999352
54.01667;105.0000065
42.36677;82.35441253
46.3;90
50.9901;99.11682505
38.58333;74.99999352
46.3;90
37.67321;73.23086177
51.44444;99.99999136
48.87222;94.99999568
46.3;90
13.36275;25.97510799
50.9901;99.11682505
41.15556;80.00000864
60.74938;118.0873477
46.3;90
32.63041;63.42844276
51.44444;99.99999136
51.44444;99.99999136
41.15556;80.00000864
54.01667;105.0000065
51.44444;99.99999136
37.67321;73.23086177
51.44444;99.99999136
38.58333;74.99999352
43.72778;85.00000432
38.58333;74.99999352
36.01111;69.99999784
51.44444;99.99999136
36.01111;69.99999784
53.02025;103.063121
37.67321;73.23086177
64.30556;125.0000086
53.02025;103.063121
43.72778;85.00000432
51.44444;99.99999136
48.87222;94.99999568
56.58889;110.0000022
58.87026;114.4346307
33.43889;65.00000216
44.60794;86.71089849
51.44444;99.99999136
51.44444;99.99999136
46.3;90
38.58333;74.99999352
38.58333;74.99999352
23.15;45
60.74938;118.0873477
48.87222;94.99999568
43.72778;85.00000432
48.87222;94.99999568
50.9901;99.11682505
46.3;90
18.00556;35.00000864
46.3;90
46.3;90
41.15556;80.00000864
41.15556;80.00000864
46.7885;90.94956803
33.43889;65.00000216
46.3;90
46.3;90
51.44444;99.99999136
28.29445;55.0000108
36.01111;69.99999784
28.29445;55.0000108
51.44444;99.99999136
58.87026;114.4346307
33.43889;65.00000216
53.02025;103.063121
48.87222;94.99999568
48.87222;94.99999568
30.86667;60.00000648
51.44444;99.99999136
38.58333;74.99999352
51.44444;99.99999136
51.44444;99.99999136
60.74938;118.0873477
51.44444;99.99999136
43.72778;85.00000432
51.44444;99.99999136
30.86667;60.00000648
54.01667;105.0000065
46.3;90
46.3;90
50.9901;99.11682505
46.3;90
51.44444;99.99999136
64.30556;125.0000086
54.01667;105.0000065
38.58333;74.99999352
56.58889;110.0000022
46.3;90
41.15556;80.00000864
51.44444;99.99999136
36.01111;69.99999784
53.02025;103.063121
48.87222;94.99999568
43.72778;85.00000432
58.87026;114.4346307
60.74938;118.0873477
30.86667;60.00000648
48.87222;94.99999568
64.30556;125.0000086
43.72778;85.00000432
30.86667;60.00000648
48.87222;94.99999568
30.86667;60.00000648
30.86667;60.00000648
51.44444;99.99999136
38.58333;74.99999352
51.44444;99.99999136
43.72778;85.00000432
51.44444;99.99999136
51.44444;99.99999136
46.3;90
33.43889;65.00000216
38.58333;74.99999352
51.44444;99.99999136
54.01667;105.0000065
48.87222;94.99999568
18.00556;35.00000864
43.72778;85.00000432
23.15;45
13.36275;25.97510799
43.72778;85.00000432
43.72778;85.00000432
51.44444;99.99999136
48.87222;94.99999568
43.72778;85.00000432
46.3;90
60.74938;118.0873477
20.88138;40.59015551
48.87222;94.99999568
54.01667;105.0000065
64.30556;125.0000086
48.87222;94.99999568
43.72778;85.00000432
58.87026;114.4346307
46.3;90
51.44444;99.99999136
48.87222;94.99999568
56.58889;110.0000022
38.58333;74.99999352
43.72778;85.00000432
38.58333;74.99999352
18.00556;35.00000864
43.72778;85.00000432
29.94165;58.20191145
38.58333;74.99999352
54.01667;105.0000065
48.87222;94.99999568
36.01111;69.99999784
41.15556;80.00000864
38.58333;74.99999352
23.15;45
42.36677;82.35441253
43.72778;85.00000432
54.01667;105.0000065
43.72778;85.00000432
48.87222;94.99999568
33.43889;65.00000216
54.01667;105.0000065
43.72778;85.00000432
41.15556;80.00000864
51.44444;99.99999136
46.3;90
43.72778;85.00000432
60.74938;118.0873477
48.87222;94.99999568
33.43889;65.00000216
48.87222;94.99999568
46.3;90
36.01111;69.99999784
46.3;90
46.3;90
54.01667;105.0000065
18.00556;35.00000864
43.72778;85.00000432
41.15556;80.00000864
46.3;90
51.44444;99.99999136
54.01667;105.0000065
46.3;90
46.3;90
46.3;90
38.58333;74.99999352
38.58333;74.99999352
41.15556;80.00000864
30.86667;60.00000648
38.58333;74.99999352
48.87222;94.99999568
46.3;90
38.58333;74.99999352
19.51154;37.92739957
46.3;90
51.44444;99.99999136
60.74938;118.0873477
53.02025;103.063121
43.72778;85.00000432
60.74938;118.0873477
54.01667;105.0000065
9.616684;18.69333823
46.3;90
51.44444;99.99999136
51.44444;99.99999136
44.60794;86.71089849
27.11203;52.70157019
50.9901;99.11682505
36.01111;69.99999784
46.3;90
51.44444;99.99999136
54.01667;105.0000065
36.01111;69.99999784
64.30556;125.0000086
51.44444;99.99999136
36.01111;69.99999784
41.15556;80.00000864
51.44444;99.99999136
23.15;45
38.58333;74.99999352
29.94165;58.20191145
20.57778;40.00000432
25.72222;49.99999568
54.01667;105.0000065
40.05803;77.86658099
51.44444;99.99999136
43.72778;85.00000432
46.3;90
27.11203;52.70157019
46.3;90
28.29445;55.0000108
30.86667;60.00000648
37.67321;73.23086177
46.3;90
53.02025;103.063121
44.60794;86.71089849
54.01667;105.0000065
38.58333;74.99999352
30.86667;60.00000648
58.87026;114.4346307
51.44444;99.99999136
60.74938;118.0873477
43.72778;85.00000432
46.3;90
60.74938;118.0873477
29.94165;58.20191145
51.44444;99.99999136
38.58333;74.99999352
54.01667;105.0000065
51.44444;99.99999136
46.3;90
54.01667;105.0000065
64.30556;125.0000086
46.3;90
46.3;90
46.3;90
42.36677;82.35441253
33.43889;65.00000216
23.15;45
54.01667;105.0000065
51.44444;99.99999136
33.43889;65.00000216
37.67321;73.23086177
20.57778;40.00000432
32.63041;63.42844276
43.72778;85.00000432
44.60794;86.71089849
36.01111;69.99999784
43.72778;85.00000432
56.58889;110.0000022
56.58889;110.0000022
36.01111;69.99999784
64.30556;125.0000086
36.01111;69.99999784
30.86667;60.00000648
51.44444;99.99999136
54.01667;105.0000065
25.72222;49.99999568
56.58889;110.0000022
48.87222;94.99999568
46.3;90
64.30556;125.0000086
51.44444;99.99999136
36.01111;69.99999784
30.86667;60.00000648
30.86667;60.00000648
38.58333;74.99999352
46.7885;90.94956803
46.3;90
54.01667;105.0000065
46.7885;90.94956803
46.3;90
48.87222;94.99999568
43.72778;85.00000432
53.02025;103.063121
53.02025;103.063121
28.29445;55.0000108
30.86667;60.00000648
43.72778;85.00000432
46.3;90
46.3;90
38.58333;74.99999352
38.58333;74.99999352
60.74938;118.0873477
48.87222;94.99999568
36.01111;69.99999784
46.7885;90.94956803
46.3;90
51.44444;99.99999136
28.29445;55.0000108
18.00556;35.00000864
54.01667;105.0000065
56.58889;110.0000022
54.01667;105.0000065
46.3;90
36.01111;69.99999784
28.29445;55.0000108
36.01111;69.99999784
54.01667;105.0000065
46.7885;90.94956803
46.3;90
38.58333;74.99999352
33.43889;65.00000216
25.72222;49.99999568
64.30556;125.0000086
51.44444;99.99999136
54.01667;105.0000065
51.44444;99.99999136
43.72778;85.00000432
36.01111;69.99999784
43.72778;85.00000432
48.87222;94.99999568
60.74938;118.0873477
38.58333;74.99999352
28.29445;55.0000108
51.44444;99.99999136
46.3;90
54.01667;105.0000065
38.58333;74.99999352
53.02025;103.063121
43.72778;85.00000432
37.67321;73.23086177
46.3;90
38.58333;74.99999352
38.58333;74.99999352
46.3;90
46.7885;90.94956803
